Frame,RMSD
0,2.105912961860212e-06
1,0.9876025875201571
2,1.1358655082887263
3,1.1418090770198253
4,1.103735809450918
5,1.1723672526812376
6,1.3656053314165826
7,1.3973773122957045
8,1.4095340566795251
9,1.3934216493366243
10,1.3884058099934886
11,1.4145082896442447
12,1.4292144855533662
13,1.4284095708114866
14,1.5557762319046708
15,1.4639671386538982
16,1.4570072364732156
17,1.5139465380053443
18,1.5118859114936152
19,1.563921099351123
20,1.4474055753553574
21,1.5114105316756834
22,1.5540370739121274
23,1.6059940372524009
24,1.6966596789084576
25,1.6034766241405176
26,1.7016088842625865
27,1.7585103602765124
28,1.7235500885346355
29,1.6324767061087861
30,1.6484209774504766
31,1.6690841654258581
32,1.7029611028403915
33,1.7209676351937484
34,1.7129943071121776
35,1.9225805175358937
36,1.8505402388114396
37,1.7640212672989106
38,1.7202261799328873
39,1.7137150444138454
40,1.8475996071867116
41,1.9893745154580913
42,1.7760258183523736
43,1.849928053388296
44,1.7099962988301356
45,1.8531394826995466
46,1.82019837651256
47,1.8891685759714005
48,1.9092637714604923
49,1.8904719404262147
50,2.0736115094393943
51,2.035215086698797
52,2.1182154142625955
53,2.07632889672447
54,2.120991154684977
55,2.218172587345412
56,2.1264965796346273
57,2.0601282561294814
58,2.0347678344807396
59,2.0933230596489407
60,2.303638291203691
61,2.3636843470010342
62,2.060480115675548
63,2.198717349159733
64,2.116172735811344
65,2.1976881994512767
66,2.234042489943218
67,2.324069244314693
68,2.185518443450849
69,2.1452541331509476
70,2.1804570769968916
71,2.277563170352093
72,2.219357120266946
73,2.4345323514229427
74,2.238311199684252
75,2.1801925931500095
76,2.0672635821716985
77,2.2119936001981473
78,2.3717728136237297
79,2.327786092210749
80,2.515030674954751
81,2.3213840499316096
82,2.432301515764693
83,2.2825910957261697
84,2.4808127043985526
85,2.479794401498751
86,2.300296899611215
87,2.3363320811204704
88,2.2041334770796426
89,2.110156660555547
90,2.2053390239912734
91,2.350323003918811
92,2.206315412101187
93,2.209683162208285
94,2.2435500073535426
95,2.345625758569193
96,2.3283456938137257
97,2.2747491811844864
98,2.370477529590815
99,2.41928772640918
100,2.2955513513898365
101,2.2614536811982475
102,2.5261953663094334
103,2.301741310871015
104,2.159805007659169
105,2.309664876952083
106,2.122499109523959
107,2.1760845615821385
108,2.1250103891872163
109,2.2698889196098384
110,2.139960243603207
111,2.204991779969369
112,2.2175742521852113
113,2.2985588786770803
114,2.39980520100075
115,2.113304136595177
116,2.410392370847029
117,2.225260553392898
118,2.1990782745596644
119,2.443821656338918
120,2.352221227911218
121,2.389536176690128
122,2.371267213857882
123,2.385037648017678
124,2.4655699486866847
125,2.2907670826414996
126,2.218386890346446
127,2.3208298778623755
128,2.330985583467513
129,2.5592258536099206
130,2.239840765506813
131,2.494698956812097
132,2.4033188263145298
133,2.4222127782496368
134,2.327117064032245
135,2.4728136845617974
136,2.2548480826232415
137,2.3640793565546914
138,2.383669683239002
139,2.5036728779228477
140,2.5530234580378215
141,2.7687641509757013
142,2.736305795048511
143,2.664287169778922
144,2.619647297699616
145,2.5890626739510205
146,2.7266612865047115
147,2.659358894992842
148,2.6685303570864796
149,2.5975912906704557
150,2.6146930113483173
151,2.6521287822316615
152,2.7032999150051844
153,2.6522609668111365
154,2.6391941242387142
155,2.7266117769253433
156,2.678791964102754
